id,name,object_type,diameter_m,velocity_km_s,distance_km,is_hazardous,kinetic_energy_mt,threat_level,size_category,period_years,eccentricity,inclination_deg,moid_au,is_asteroid,is_comet
2000433,433 Eros (A898 PA),asteroid,35937,5.5786191875,47112732.928149395,0,271129702.09555453,4,huge,,,,,1,0
2000719,719 Albert (A911 TB),asteroid,3277,3.446029003,255628984.35594097,0,78445.02147999499,4,huge,,,,,1,0
2000887,887 Alinda (A918 AA),asteroid,7439,7.095973685,20461808.70383613,0,3891041.601845715,4,huge,,,,,1,0
2001036,1036 Ganymed (A924 UB),asteroid,62740,6.3038664111,292651826.17328167,0,1842238062.2993832,4,huge,,,,,1,0
2001221,1221 Amor (1932 EA1),asteroid,1444,10.7701740589,27512874.49403824,0,65560.94869245542,4,huge,,,,,1,0
2001566,1566 Icarus (1949 MA),asteroid,2126,27.0080561011,12638658.792139495,1,1315753.8218924014,4,huge,,,,,1,0
2001580,1580 Betulia (1950 KA),asteroid,5147,11.3576547268,276689988.3291326,0,3301703.2270872365,4,huge,,,,,1,0
2001620,1620 Geographos (1951 RA),asteroid,3798,11.7628115427,5071250.986983104,1,1422935.992566011,4,huge,,,,,1,0
2001627,1627 Ivar (1929 SH),asteroid,11900,6.5498704866,24911350.809696373,0,13570770.775056696,4,huge,,,,,1,0
2001685,1685 Toro (1948 OA),asteroid,5992,16.1350821461,26483636.64554235,0,10513709.697360398,4,huge,,,,,1,0
2001862,1862 Apollo (1932 HA),asteroid,2615,11.6407136972,9839828.72675955,1,454854.50553064875,4,huge,,,,,1,0
2001863,1863 Antinous (1948 EA),asteroid,3480,18.0795126569,13378690.522801436,0,2585886.0104965074,4,huge,,,,,1,0
2001864,1864 Daedalus (1971 FA),asteroid,4630,21.1217901741,22024825.739892863,0,8311944.343339203,4,huge,,,,,1,0
2001865,1865 Cerberus (1971 UA),asteroid,1886,20.574000903,15819539.497497234,0,533041.2022969412,4,huge,,,,,1,0
2001866,1866 Sisyphus (1972 XA),asteroid,13726,23.0737678663,29534088.129173607,0,258444460.15994442,4,huge,,,,,1,0
2001915,1915 Quetzalcoatl (1953 EA),asteroid,907,15.120986141,3789658.286758657,0,32024.348066136565,4,large,,,,,1,0
2001916,1916 Boreas (1953 RA),asteroid,4462,20,100000,0,6670323.464131808,4,huge,,,,,1,0
2001917,1917 Cuyo (1968 AA),asteroid,5722,15.2344898243,16872242.23565602,0,8162018.898921281,4,huge,,,,,1,0
2001943,1943 Anteros (1973 EC),asteroid,3130,7.2023034103,18431472.81498497,0,298589.1647283954,4,huge,,,,,1,0
2001980,1980 Tezcatlipoca (1950 LA),asteroid,7439,20,100000,0,30910204.117218018,4,huge,,,,,1,0
2001981,1981 Midas (1973 EA),asteroid,3833,31.4029234455,23199847.01189949,1,10424490.1713325,4,huge,,,,,1,0
2002059,2059 Baboquivari (1963 UA),asteroid,2739,3.2390038886,207416502.58300328,0,40466.6488751291,4,huge,,,,,1,0
2002061,2061 Anza (1960 UA),asteroid,1966,6.8951216486,10260841.11471333,0,67816.06890436809,4,huge,,,,,1,0
2002062,2062 Aten (1976 AA),asteroid,1628,11.2688208334,18835343.845160324,0,102853.32953056092,4,huge,,,,,1,0
2002063,2063 Bacchus (1977 HB),asteroid,1554,10.3891121599,9959874.764243582,0,76034.04906055945,4,huge,,,,,1,0
2002100,2100 Ra-Shalom (1978 RA),asteroid,2418,17.9951279067,12234205.272737717,0,859363.6326971896,4,huge,,,,,1,0
2002101,2101 Adonis (1936 CA),asteroid,786,19.3298299696,28140949.153484065,1,34058.217245840846,4,large,,,,,1,0
2002102,2102 Tantalus (1975 YA),asteroid,2714,33.9011179621,10979848.95911695,1,4312764.817264779,4,huge,,,,,1,0
2002135,2135 Aristaeus (1977 HA),asteroid,1056,27.4377860884,71380028.48041442,1,166413.32265345182,4,huge,,,,,1,0
