id,name,type,diameter_m,velocity_km_s,distance_km,is_hazardous,period_years,eccentricity,inclination_deg,perihelion_au,aphelion_au,moid_au,orbital_energy,period_category,eccentricity_category,inclination_category,is_famous_comet
comet-P_2004_R1__McNaught_,P/2004 R1 (McNaught),comet,1096,0,147532224,0,5.48,0.682526943,4.894555854,0.986192006,5.23,0.027011,-0.16087019175642883,short,medium,low,0
comet-P_2008_S1__Catalina_McNaught_,P/2008 S1 (Catalina-McNaught),comet,1348,0,178117441,0,6.74,0.6663127807,15.1007464,1.190641555,5.95,0.194101,-0.14004343899600769,short,medium,medium,0
comet-1P_Halley,1P/Halley,comet,10000,0.1,87661078,0,75.32,0.9671429085,162.2626906,0.5859781115,35.08,0.063782,-0.02803792445769387,medium,high,high,1
comet-2P_Encke,2P/Encke,comet,660,0.1,50278705,0,3.3,0.8482682514,11.77999525,0.3360923855,4.09,0.173092,-0.2259329252313005,short,high,medium,1
comet-3D_Biela,3D/Biela,comet,1330,0,131507449,0,6.65,0.751299,13.2164,0.879073,6.19,0.000518,-0.14146126373288265,short,high,medium,0
comet-5D_Brorsen,5D/Brorsen,comet,1092,0.1,88239855,0,5.46,0.809796,29.3821,0.589847,5.61,0.366559,-0.16129430290779756,short,high,medium,0
comet-7P_Pons_Winnecke,7P/Pons-Winnecke,comet,1264,0,185383901,0,6.32,0.6375275046,22.33501476,1.239214834,5.6,0.224191,-0.14621561455105478,short,medium,medium,0
comet-8P_Tuttle,8P/Tuttle,comet,2722,0,153654454,0,13.61,0.819799747,54.98318484,1.027116587,10.37,0.09531,-0.08774149078554128,short,high,high,1
comet-12P_Pons_Brooks,12P/Pons-Brooks,comet,10000,0,115738949,0,70.85,0.9548123942,74.17689423,0.7736670873,33.47,0.1873,-0.029202479905280694,medium,high,high,0
comet-13P_Olbers,13P/Olbers,comet,10000,0,176293703,0,69.52,0.9302971475,44.60988573,1.178450614,32.64,0.477199,-0.029569657445691046,medium,high,medium,0
comet-15P_Finlay,15P/Finlay,comet,1302,0,145992678,0,6.51,0.7201837656,6.798912616,0.9759007725,6,0.009433,-0.143350662891041,short,high,low,0
comet-18D_Perrine_Mrkos,18D/Perrine-Mrkos,comet,1344,0,190325604,0,6.72,0.6425809824,17.75898277,1.272248081,5.85,0.28923,-0.14040510645335383,short,medium,medium,0
comet-20D_Westphal,20D/Westphal,comet,10000,0,187597639,0,61.87,0.919831189,40.89006106,1.254012762,30.03,0.468283,-0.03196520879874713,medium,high,medium,0
comet-21P_Giacobini_Zinner,21P/Giacobini-Zinner,comet,1318,0,154189968,0,6.59,0.7068178874,31.90810099,1.030696274,6,0.035395,-0.14223342340901127,short,high,medium,1
comet-23P_Brorsen_Metcalf,23P/Brorsen-Metcalf,comet,10000,0.1,71620386,0,70.52,0.9719522579,19.33394047,0.4787527107,33.66,0.193872,-0.029292224249498528,medium,high,medium,0
comet-24P_Schaumasse,24P/Schaumasse,comet,1650,0,180266936,0,8.25,0.7048003557,11.75152976,1.205010042,6.96,0.28218,-0.12247382365191216,short,high,medium,0
comet-26P_Grigg_Skjellerup,26P/Grigg-Skjellerup,comet,1048,0,162350757,0,5.24,0.6402771379,22.42889388,1.085247781,4.95,0.079476,-0.16569327992599941,short,medium,medium,0
