asteroid_id,asteroid_name,approach_date,approach_date_full,velocity_km_s,distance_km,is_hazardous
2247517,247517 (2002 QY6),2025-10-05,2025-Oct-05 00:22,18.2933115554,20515576.153006017,false
2319988,319988 (2007 DK),2025-10-05,2025-Oct-05 10:50,14.2822478089,19650688.633822095,false
3092506,(2001 WJ4),2025-10-05,2025-Oct-05 05:34,18.2830043948,74084958.19180362,false
3746623,(2016 EF156),2025-10-05,2025-Oct-05 15:01,17.7913534994,51388712.782018594,false
3830865,(2018 SP1),2025-10-05,2025-Oct-05 17:14,16.381588731,5041878.253037102,false
54051291,(2020 QW2),2025-10-05,2025-Oct-05 04:32,21.5787552506,42875160.29287166,false
54296533,(2022 QE1),2025-10-05,2025-Oct-05 04:11,9.2772720654,25006707.08007752,false
54547735,(2025 SY10),2025-10-05,2025-Oct-05 00:59,11.4006049777,6006932.706187124,false
54549110,(2025 SN21),2025-10-05,2025-Oct-05 16:32,8.3257528748,2845700.544110071,false
54549113,(2025 SJ22),2025-10-05,2025-Oct-05 23:53,8.4280738651,4277969.251223821,false
54549130,(2025 SO27),2025-10-05,2025-Oct-05 14:38,6.4809213857,3948289.45958095,false
54550502,(2025 TL),2025-10-05,2025-Oct-05 19:52,17.9779723055,4434365.880661924,false
54550507,(2025 TO),2025-10-05,2025-Oct-05 06:47,6.9331467271,1262890.55794874,false
3693271,(2014 TT57),2025-10-10,2025-Oct-10 16:01,16.7260285699,70260036.02193816,false
3831218,(2018 TD2),2025-10-10,2025-Oct-10 07:59,16.4771934174,23883806.214611653,false
54143218,(2021 JQ),2025-10-10,2025-Oct-10 23:34,10.0275543149,47119006.673862725,false
54147685,(2021 KF2),2025-10-10,2025-Oct-10 15:05,15.5093542913,65308038.293486804,false
54360089,(2023 KX3),2025-10-10,2025-Oct-10 08:30,8.3661150323,28095165.727676295,false
54387140,(2023 SL5),2025-10-10,2025-Oct-10 10:48,9.1932817532,43080564.73572815,false
54549690,(2025 SN29),2025-10-10,2025-Oct-10 08:12,8.9880965,4773773.528117924,false
54549691,(2025 SP29),2025-10-10,2025-Oct-10 04:54,14.19746631,3708763.268475731,false
2497232,497232 (2005 EF),2025-10-12,2025-Oct-12 18:49,9.179064926,66532318.0451028,false
2504181,504181 (2006 TC),2025-10-12,2025-Oct-12 01:38,51.7044125793,74718468.89377016,false
3667130,(2014 GJ35),2025-10-12,2025-Oct-12 19:06,25.4527306192,35515266.70933237,false
54053743,(2020 RS),2025-10-12,2025-Oct-12 02:24,6.3183307862,20524744.273428753,false
54185132,(2021 PZ9),2025-10-12,2025-Oct-12 19:33,5.3645555402,30520101.961980406,false
54207058,(2021 TJ10),2025-10-12,2025-Oct-12 23:30,13.5009471036,35339607.813273706,false
54254428,(2022 EX4),2025-10-12,2025-Oct-12 22:37,20.4266761897,56990996.77350316,false
54354276,(2023 GX),2025-10-12,2025-Oct-12 14:02,16.6268261751,68772897.04511666,false
54390665,(2023 TN),2025-10-12,2025-Oct-12 03:30,23.9945506839,63408396.713787764,false
54439707,(2024 JK1),2025-10-12,2025-Oct-12 08:39,6.7113958351,28312618.40898791,false
54487057,(2024 TL1),2025-10-12,2025-Oct-12 09:09,33.1324358483,57328757.00433536,false
54546409,(2025 SF2),2025-10-12,2025-Oct-12 02:10,6.4517636234,21850757.099111874,false
54548207,(2025 SQ14),2025-10-12,2025-Oct-12 19:09,7.4277907386,21419182.114190154,false
3370286,(2007 EV),2025-10-11,2025-Oct-11 17:36,23.2798599159,65573368.920384064,false
3789621,(2017 WK13),2025-10-11,2025-Oct-11 15:21,29.0746405568,21975871.76674789,false
3879228,(2019 UL),2025-10-11,2025-Oct-11 19:40,18.893095028,68455871.54281986,false
3989280,(2020 BQ12),2025-10-11,2025-Oct-11 05:11,7.9851344003,21662180.3222602,false
54051126,(2020 PH5),2025-10-11,2025-Oct-11 06:01,13.191491371,39032939.35834895,false
54235680,(2022 AL3),2025-10-11,2025-Oct-11 17:38,11.1068398598,65729568.60422631,false
54301288,(2022 RJ1),2025-10-11,2025-Oct-11 20:22,11.9272405397,51288535.83995499,false
54307442,(2022 SM10),2025-10-11,2025-Oct-11 01:34,6.5264851599,15596761.476088718,false
54373188,(2023 LL1),2025-10-11,2025-Oct-11 20:45,16.6014176526,37454813.26653753,false
54397142,(2023 UZ2),2025-10-11,2025-Oct-11 02:37,9.9891416916,32481147.124364756,false
54404088,(2023 VT5),2025-10-11,2025-Oct-11 15:10,10.1226957178,24106503.213813778,false
54439324,(2024 JH),2025-10-11,2025-Oct-11 15:58,7.5657397576,17191607.94231259,false
54467611,(2024 RM),2025-10-11,2025-Oct-11 11:05,10.7805972206,30262905.01615441,false
54542538,(2025 QL9),2025-10-11,2025-Oct-11 11:19,5.7258342475,17959634.9994923,false
54549121,(2025 SU25),2025-10-11,2025-Oct-11 00:25,3.3526168371,25819793.79361015,false
54550577,(2025 TQ1),2025-10-11,2025-Oct-11 22:29,5.7407552426,21909939.946296398,false
3559911,(2011 ET74),2025-10-07,2025-Oct-07 00:54,18.0792095644,65301756.58916678,false
3611402,(2012 TR231),2025-10-07,2025-Oct-07 04:49,18.3828706129,47911936.97430581,false
3781897,(2017 SL16),2025-10-07,2025-Oct-07 21:09,5.0013428598,21187666.679586414,false
3819574,(2018 HG2),2025-10-07,2025-Oct-07 11:38,23.0053158378,64466387.18313893,false
3831210,(2018 TX1),2025-10-07,2025-Oct-07 17:47,10.909964223,17554169.330821674,false
54016489,(2020 GA2),2025-10-07,2025-Oct-07 22:58,30.0366565688,44561001.638214916,true
54165800,(2021 NM),2025-10-07,2025-Oct-07 08:09,23.8269863934,42583700.34848808,false
54202333,(2021 TE1),2025-10-07,2025-Oct-07 22:33,24.9629732006,57739027.651871875,false
54205444,(2021 TD7),2025-10-07,2025-Oct-07 22:56,16.2004007293,19264377.970099244,false
54312823,(2022 TD),2025-10-07,2025-Oct-07 00:47,7.4075552816,15054344.8216696,false
54490869,(2024 TP14),2025-10-07,2025-Oct-07 07:26,34.7587465136,69712527.71425487,false
54545158,(2025 RG3),2025-10-07,2025-Oct-07 07:30,9.3830673833,15062308.155646292,false
54546614,(2025 SE3),2025-10-07,2025-Oct-07 05:16,10.4592605921,22935721.964316987,false
54546916,(2025 RX10),2025-10-07,2025-Oct-07 11:36,6.5150369964,15781356.301716091,false
54548503,(2025 SM15),2025-10-07,2025-Oct-07 03:20,10.2952217039,3077935.948382757,false
54550522,(2025 TA1),2025-10-07,2025-Oct-07 03:05,13.0196210121,15947501.20707658,false
54550578,(2025 TS1),2025-10-07,2025-Oct-07 14:28,8.6246648725,11124243.51600261,false
2477719,477719 (2010 SG15),2025-10-06,2025-Oct-06 21:14,5.1613522899,14627344.868727792,false
3255174,(2004 SW26),2025-10-06,2025-Oct-06 03:02,21.2348817181,58913122.35955108,false
3648864,(2013 TT5),2025-10-06,2025-Oct-06 19:39,8.081453263,26175195.62253827,false
3781891,(2017 ST16),2025-10-06,2025-Oct-06 21:24,9.8205556757,39292473.36697945,false
3785751,(2017 TS3),2025-10-06,2025-Oct-06 12:19,16.8683475324,37278274.196450934,false
3838904,(2019 ED1),2025-10-06,2025-Oct-06 23:31,13.8527945685,57668727.169702135,false
54131736,(2021 ED5),2025-10-06,2025-Oct-06 06:08,22.1815270319,10897501.480154408,true
54211501,(2021 UO),2025-10-06,2025-Oct-06 02:13,21.3098970711,25103009.856182165,false
54215637,(2021 UV9),2025-10-06,2025-Oct-06 09:39,6.2439477868,38999447.656489514,false
54240297,(2022 BB3),2025-10-06,2025-Oct-06 04:50,16.3663298781,42025803.81511412,false
54318589,(2022 UN5),2025-10-06,2025-Oct-06 10:02,21.6495987978,63484736.40213026,false
54416724,(2023 XX12),2025-10-06,2025-Oct-06 19:32,7.4945176444,46153734.451093346,false
54486545,(2024 TK),2025-10-06,2025-Oct-06 09:55,22.301180174,37118375.61551422,false
54488497,(2024 TL5),2025-10-06,2025-Oct-06 23:49,5.3974063811,9234102.717509829,false
54496027,(2024 UJ5),2025-10-06,2025-Oct-06 06:32,11.3649819643,27012890.13850081,false
54547366,(2025 SU6),2025-10-06,2025-Oct-06 12:01,9.072328971,14399495.50944585,false
54549119,(2025 SC24),2025-10-06,2025-Oct-06 15:35,13.3335937488,4528950.106355579,false
54549120,(2025 SH25),2025-10-06,2025-Oct-06 19:34,12.7752940199,3543868.118681011,false
54549688,(2025 SL29),2025-10-06,2025-Oct-06 17:34,5.5933307016,16053981.201076254,false
54550524,(2025 TC1),2025-10-06,2025-Oct-06 10:47,5.6947540873,4237528.803101822,false
3163746,(2003 UC5),2025-10-09,2025-Oct-09 06:11,23.986036034,57588819.81151674,false
3388887,(2007 US),2025-10-09,2025-Oct-09 22:36,14.0431032706,61796378.05766446,false
3612164,(2012 TA259),2025-10-09,2025-Oct-09 15:17,36.4366286631,70170345.77088325,false
3789121,(2017 VW1),2025-10-09,2025-Oct-09 20:36,17.5036173252,29656442.790907055,false
3831876,(2018 UC),2025-10-09,2025-Oct-09 16:25,24.7638154344,73660759.01018396,false
54051399,(2020 QU5),2025-10-09,2025-Oct-09 00:26,13.6340013055,2713951.15110041,false
54101717,(2020 YB3),2025-10-09,2025-Oct-09 21:38,14.1555974019,64000008.164002985,false
54190785,(2021 QE2),2025-10-09,2025-Oct-09 05:45,9.7442348048,16077901.661132663,false
54489167,(2024 TT5),2025-10-09,2025-Oct-09 09:40,14.2780978485,28416562.270297475,false
54535145,(2025 MJ2),2025-10-09,2025-Oct-09 11:09,12.7509438424,10978714.483669806,false
54548209,(2025 ST14),2025-10-09,2025-Oct-09 14:21,5.7413778592,15710501.918472892,false
54548507,(2025 SP15),2025-10-09,2025-Oct-09 12:31,8.0080535942,6271891.417819776,false
54548711,(2025 SA21),2025-10-09,2025-Oct-09 06:03,7.7544271253,3550613.022885914,false
