id,name,diameter_meters,diameter_km,is_hazardous,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,total_approaches,nasa_jpl_url,orbit_id,orbit_uncertainty,minimum_orbit_intersection,eccentricity,semi_major_axis,inclination,orbital_period,perihelion_distance,aphelion_distance,mean_anomaly,mean_motion,orbit_class_type,orbit_class_description,orbit_class_range,estimated_mass_kg,kinetic_energy_mt,potential_crater_km,threat_category
2247517,247517 (2002 QY6),507.62,0.5076,false,false,19.64,2025-10-05,18.2933115554,20515576.153006017,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2247517,,,,,,,,,,,,,,,205469671978,8216.9514,10.80,GLOBAL
2319988,319988 (2007 DK),554.04,0.5540,false,false,19.45,2025-10-05,14.2822478089,19650688.633822095,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2319988,,,,,,,,,,,,,,,267145416714,6512.0719,10.19,GLOBAL
3092506,(2001 WJ4),14.24,0.0142,false,false,27.4,2025-10-05,18.2830043948,74084958.19180362,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3092506,,,,,,,,,,,,,,,4536780,0.1812,0.74,MINIMAL
3746623,(2016 EF156),49.38,0.0494,false,false,24.7,2025-10-05,17.7913534994,51388712.782018594,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3746623,,,,,,,,,,,,,,,189124472,7.1539,1.86,LOCAL
3830865,(2018 SP1),103.17,0.1032,false,false,23.1,2025-10-05,16.381588731,5041878.253037102,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3830865,,,,,,,,,,,,,,,1724835681,55.3144,3.09,REGIONAL
54051291,(2020 QW2),326.24,0.3262,false,false,20.6,2025-10-05,21.5787552506,42875160.29287166,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051291,,,,,,,,,,,,,,,54544093405,3035.1407,8.42,GLOBAL
54296533,(2022 QE1),9.28,0.0093,false,false,28.33,2025-10-05,9.2772720654,25006707.08007752,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54296533,,,,,,,,,,,,,,,1255301,0.0129,0.38,MINIMAL
54547735,(2025 SY10),25.31,0.0253,false,false,26.151,2025-10-05,11.4006049777,6006932.706187124,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54547735,,,,,,,,,,,,,,,25476967,0.3957,0.90,MINIMAL
54549110,(2025 SN21),20.15,0.0202,false,false,26.646,2025-10-05,8.3257528748,2845700.544110071,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549110,,,,,,,,,,,,,,,12857239,0.1065,0.65,MINIMAL
54549113,(2025 SJ22),34.91,0.0349,false,false,25.453,2025-10-05,8.4280738651,4277969.251223821,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549113,,,,,,,,,,,,,,,66826348,0.5673,0.98,MINIMAL
54549130,(2025 SO27),14.18,0.0142,false,false,27.41,2025-10-05,6.4809213857,3948289.45958095,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54549130,,,,,,,,,,,,,,,4474533,0.0225,0.44,MINIMAL
54550502,(2025 TL),93.44,0.0934,false,false,23.315,2025-10-05,17.9779723055,4434365.880661924,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550502,,,,,,,,,,,,,,,1281585920,49.5003,3.01,REGIONAL
54550507,(2025 TO),10.58,0.0106,false,false,28.046,2025-10-05,6.9331467271,1262890.55794874,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54550507,,,,,,,,,,,,,,,1858437,0.0107,0.36,MINIMAL
3693271,(2014 TT57),187.73,0.1877,false,false,21.8,2025-10-10,16.7260285699,70260036.02193816,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3693271,,,,,,,,,,,,,,,10393162738,347.4655,4.90,CONTINENTAL
3831218,(2018 TD2),21.55,0.0216,false,false,26.5,2025-10-10,16.4771934174,23883806.214611653,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3831218,,,,,,,,,,,,,,,15730688,0.5104,0.96,MINIMAL
54143218,(2021 JQ),74.74,0.0747,false,false,23.8,2025-10-10,10.0275543149,47119006.673862725,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54143218,,,,,,,,,,,,,,,655764236,7.8798,1.90,LOCAL
54147685,(2021 KF2),111.57,0.1116,false,false,22.93,2025-10-10,15.5093542913,65308038.293486804,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54147685,,,,,,,,,,,,,,,2181462379,62.7066,3.19,REGIONAL
54360089,(2023 KX3),30.17,0.0302,false,false,25.77,2025-10-10,8.3661150323,28095165.727676295,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54360089,,,,,,,,,,,,,,,43126849,0.3607,0.88,MINIMAL
54387140,(2023 SL5),7.51,0.0075,false,true,28.79,2025-10-10,9.1932817532,43080564.73572815,1,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54387140,,,,,,,,,,,,,,,664887,0.0067,0.32,MINIMAL
