id,name,diameter_meters,is_sentry_object,absolute_magnitude_h,latest_approach_date,latest_velocity_km_s,latest_distance_km,kinetic_energy_mt,threat_level
54016489,(2020 GA2),254.41,false,21.14,2025-10-07,30.0366565688,44561001.638214916,2788.8762,EXTREME
54131736,(2021 ED5),399.52,false,20.16,2025-10-06,22.1815270319,10897501.480154408,5889.9138,EXTREME
54203006,(2021 SZ4),346.37,false,20.47,2025-10-04,44.5235909383,71892716.08868077,15463.4511,EXTREME
2152664,152664 (1998 FW4),498.36,false,19.68,2025-09-29,18.6064298526,3852719.354004421,8043.6313,EXTREME
3557843,(2011 DV),298.91,false,20.79,2025-09-28,6.1112915121,22164403.050887294,187.2372,HIGH
3002856,(1991 GO),410.72,false,20.1,2025-10-01,32.2956242356,70011871.98997998,13564.8009,EXTREME
3346460,(2006 SS134),217.54,false,21.48,2025-10-01,18.9653044315,12154759.453900844,695.0974,HIGH
2350523,350523 (2000 EA14),252.08,false,21.16,2025-09-25,4.427725204,10550794.39910899,58.9505,MODERATE
3014110,(1998 SU4),223.64,false,21.42,2025-09-25,31.4377271034,51388944.95791283,2075.0489,EXTREME
3559599,(2011 EO40),181.78,false,21.87,2025-09-25,12.167041344,11555471.882659543,166.9153,HIGH
54541542,(2025 QA4),176.82,false,21.93,2025-09-25,11.0339941799,11639474.228219813,126.3547,HIGH
3581669,(2011 TX8),171.22,false,22,2025-09-24,37.8763092063,73006767.85118167,1351.6410,EXTREME
54297314,(2021 KA17),178.46,false,21.91,2025-09-23,18.8719925649,41175885.34303835,379.9807,HIGH
54308092,(2022 SW12),255.59,false,21.13,2025-09-23,17.6241783766,5742247.998013164,973.5176,HIGH
3335049,(2006 KN89),215.55,false,21.5,2025-09-22,10.2070600614,21483133.03444604,195.8517,HIGH
2358471,358471 (2007 NS4),621.65,false,19.2,2025-09-26,12.2958945876,18694549.854689185,6817.8324,EXTREME
2385605,385605 (2005 EJ225),684.77,false,18.99,2025-09-21,21.9075583353,27119858.584505823,28927.7070,EXTREME
54524508,(2025 FR5),333.84,false,20.55,2025-09-14,13.0985598725,23076818.47160084,1198.3210,EXTREME
54541107,(2025 QR1),190.35,false,21.77,2025-09-14,8.7474268651,7547040.937783323,99.0573,MODERATE
54525863,(2025 FA22),201.16,false,21.65,2025-09-18,10.7855582952,842056.146580899,177.7507,HIGH
3082930,(2001 SY269),215.55,false,21.5,2025-09-17,27.3870435836,54717982.98058141,1409.9911,EXTREME
3467394,(2009 SG18),1298.80,false,17.6,2025-09-15,34.3334763482,17071549.06933131,484798.8870,EXTREME
54547733,(2025 SW10),327.90,false,20.589,2025-09-15,21.6103611162,27991447.654431917,3090.6520,EXTREME
3761549,(2016 UJ31),548.96,false,19.47,2025-09-20,17.8559166453,22635713.48900885,9901.2575,EXTREME
3451790,(2009 FF),176.82,false,21.93,2025-09-11,12.9265820124,2613242.957080861,173.4177,HIGH
3788903,(2017 VD),288.10,false,20.87,2025-09-11,20.5003105882,68485269.37928845,1886.4571,EXTREME
