asteroid_id,diameter_m,velocity_km_s,distance_km,kinetic_energy_mt,is_hazardous,absolute_magnitude,approach_parameter,gravity_influence,orbit_uncertainty,moid,inclination,eccentricity
2247517,507.62,18.293,20515576.15,8216.951394,0,19.64,3220.150079,0.00031054,9,1.000000,0.0000,0.000000
2319988,554.04,14.282,19650688.63,6512.071862,0,19.45,3084.396270,0.00032421,9,1.000000,0.0000,0.000000
3092506,14.24,18.283,74084958.19,0.181226,0,27.40,11628.466205,0.00008600,9,1.000000,0.0000,0.000000
3746623,49.38,17.791,51388712.78,7.153919,0,24.70,8066.035596,0.00012398,9,1.000000,0.0000,0.000000
3830865,103.17,16.382,5041878.25,55.314386,0,23.10,791.379415,0.00126362,9,1.000000,0.0000,0.000000
54051291,326.24,21.579,42875160.29,3035.140742,0,20.60,6729.737921,0.00014859,9,1.000000,0.0000,0.000000
54296533,9.28,9.277,25006707.08,0.012911,0,28.33,3925.083516,0.00025477,9,1.000000,0.0000,0.000000
54547735,25.31,11.401,6006932.71,0.395714,0,26.15,942.855550,0.00106061,9,1.000000,0.0000,0.000000
54549110,20.15,8.326,2845700.54,0.106506,0,26.65,446.664659,0.00223882,9,1.000000,0.0000,0.000000
54549113,34.91,8.428,4277969.25,0.567261,0,25.45,671.475318,0.00148926,9,1.000000,0.0000,0.000000
54549130,14.18,6.481,3948289.46,0.022459,0,27.41,619.728372,0.00161361,9,1.000000,0.0000,0.000000
54550502,93.44,17.978,4434365.88,49.500259,0,23.32,696.023525,0.00143673,9,1.000000,0.0000,0.000000
54550507,10.58,6.933,1262890.56,0.010675,0,28.05,198.224856,0.00504478,9,1.000000,0.0000,0.000000
3693271,187.73,16.726,70260036.02,347.465528,0,21.80,11028.101714,0.00009068,9,1.000000,0.0000,0.000000
3831218,21.55,16.477,23883806.21,0.510379,0,26.50,3748.831614,0.00026675,9,1.000000,0.0000,0.000000
54143218,74.74,10.028,47119006.67,7.879816,0,23.80,7395.857271,0.00013521,9,1.000000,0.0000,0.000000
54147685,111.57,15.509,65308038.29,62.706634,0,22.93,10250.830057,0.00009755,9,1.000000,0.0000,0.000000
54360089,30.17,8.366,28095165.73,0.360723,0,25.77,4409.851786,0.00022676,9,1.000000,0.0000,0.000000
54387140,7.51,9.193,43080564.74,0.006715,0,28.79,6761.978455,0.00014789,9,1.000000,0.0000,0.000000
